연번,관광지명,관광지 분야,관광지 구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자
500,소라의성,기타,관광지,제주특별자치도 서귀포시 보목로70번길 6,제주특별자치도 서귀포시 보목동 590-4,33.238657,126.60249,,,,,,,소라의성은 서귀포시 동홍동에 위치하며 해안절벽에 지어졌다.,064-710-2114,제주특별자치도청,2022-12-01
501,소록산,오름,관광지,,,33.398807,126.706334,,,,,,,오름 남측 사면상에도 남서쪽으로 벌어진 작은 말굽형 화구를 갖고 있는 쌍둥이 화산체이며· 화구방향으로 해송· 삼나무가 조림되어 숲을 이루고· 그 반대 사면은 풀밭을 이루고 있다.,064-710-2114,제주특별자치도청,2022-12-01
502,소머리오름,오름,관광지,,,33.492644,126.964298,,,,,,,우도의 머리 부분을 소머리오름이라 한다. 우도의 가장 높은 곳에 자리한다.,064-710-2114,제주특별자치도청,2022-12-01
503,소병악(족은오름),오름,관광지,,제주특별자치도 서귀포시 안덕면 상창리 산2-1,33.306624,126.370456,,,,,,,울창한 자연림이 있는 소병악,064-710-2114,제주특별자치도청,2022-12-01
504,소수산봉(족은물뫼),오름,관광지,,제주특별자치도 서귀포시 성산읍 고성리 887,33.436866,126.912064,,,,,,,소수산봉에서 아름다운 일출봉과 광치기 해안을 볼 수 있다.,064-710-2114,제주특별자치도청,2022-12-01
505,소암현중화기념관,기타,관광지,제주특별자치도 서귀포시 소암로 15 (서귀동) 소암기념관,제주특별자치도 서귀포시 서귀동 157-1,33.245102,126.567566,,,,,,,소암 현중화 선생의 삶과 예술이 숨쉬는 문화공간,064-710-2114,제주특별자치도청,2022-12-01
506,소인국테마파크,기타,관광지,제주특별자치도 서귀포시 안덕면 중산간서로 1878,제주특별자치도 서귀포시 서광리 725,33.290421,126.322602,,,,,,,소인국테마파크에서 세계 각국의 유명건축물을 볼 수 있다.,064-710-2114,제주특별자치도청,2022-12-01
507,소정방폭포,자연,관광지,,제주특별자치도 서귀포시 토평동,33.28441,126.579674,,,,,,,국내 유일의 해안 폭포,064-710-2114,제주특별자치도청,2022-12-01
508,소천지,자연,관광지,,제주특별자치도 서귀포시 보목동 1400,33.239579,126.592174,,,,,,,백두산 천지를 축소시켜 놓은 곳,064-710-2114,제주특별자치도청,2022-12-01
509,손지오름,오름,관광지,,,33.488067,126.880495,,,,,,,한라산의 축소판이라 한라산의 손자라는 의미로 ‘손지오름’이라 불린다. ‘손지’는 ‘손자’의 제주특별자치도 방언이다. 이 외에 손자봉이라고도 부른다. 규모가 작고 비교적 한산하다.,064-710-2114,제주특별자치도청,2022-12-01
510,솔담한방병원,의료,관광지,제주특별자치도 제주시 1100로 3055,,33.456151,126.48637,,,,,,,"""세상의 건강을 담다"" 솔담한방병원은 노형동에 위치한 제주특별자치도 유일 한·양방협진 한방병원이다.",064-710-2114,제주특별자치도청,2022-12-01
511,솔동산8경,유적,관광지,제주특별자치도 서귀포시 서귀동 솔동산로,제주특별자치도 서귀포시 서귀동 솔동산로,33.242897,126.56387,209,,가족호텔,,,,서귀포시 송산동 솔동산 문화의 거리에 8가지 새로운 이야기가 만들어졌다.,064-740-6000,제주특별자치도청,2022-12-01
512,솔트리사립감성수목원,기타,관광지,제주특별자치도 제주시 구좌읍 번영로 2063,,33.4353709,126.7423808,,,,,,,솔트리 수목원은 2015년도에 사립 수목원으로 등재됐다. 병충해약을 뿌리지 않고· 생태계 순환구조를 고려하며 치밀한 전지방법으로 관리한다.,064-710-2114,제주특별자치도청,2022-12-01
513,송계순집터,유적,관광지,,제주특별자치도 서귀포시 대정읍 안성리 1681-1,33.251029,126.277468,460,유도및 안내시설,펜션+관광호텔+게스트하우스,,30,,송계순집터는 추사 김정희가 대정읍에 와서 처음 머문 집터를 말한다., 064-760-2505,제주특별자치도청,2022-12-01
514,송당본향당,유적,관광지,,제주특별자치도 제주시 구좌읍 송당리,33.465817,126.775188,264,주차장,게스트하우스+관광호텔,,50,10,송당본향당은 제주시 구좌읍 송당리에 위치하며 이곳에서 제주특별자치도 민간신앙의 확인할 수 있다.,064-740-6000,제주특별자치도청,2022-12-01
515,송령이골,유적,관광지,제주특별자치도 서귀포시 남원읍 한신로143번길 99,제주특별자치도 서귀포시 남원읍 의귀리 1975,33.318921,126.705382,70,,게스트하우스+관광호텔,,20,,4.3사건 당시 토벌대에게 사살된 무장대의 시신이 송령이골로 옮겨졌다.,064-740-6000,제주특별자치도청,2022-12-01
516,송악산,자연,관광지,제주특별자치도 서귀포시 대정읍 송악관광로 421-1,제주특별자치도 서귀포시 상모리 131,33.2077142,126.2909893,,,,,,,송악산은 서귀포시 대정읍 상모리에 있는 기생화산이다.,064-710-2114,제주특별자치도청,2022-12-01
517,송악산진지동굴,자연,관광지,,제주특별자치도 서귀포시 대정읍 상모리,33.2218976,126.2741296,,,,,,,송악산진지동굴은 전쟁의 흔적이 남아 있는 일제 동굴진지다.,064-710-2114,제주특별자치도청,2022-12-01
518,송죽사터,유적,관광지,,제주특별자치도 서귀포시 대정읍 안성리,33.250781,126.277968,325,,펜션+관광호텔+게스트하우스,,,,송죽사 터는 정온의 절개를 소나무와 대나무에 비유하여 넋을 기린다., 064-760-2505,제주특별자치도청,2022-12-01
519,쇠소깍,자연,관광지,제주특별자치도 서귀포시 쇠소깍로 104,제주특별자치도 서귀포시 하효동 990-1,33.2542498,126.6224923,,,,,,,쇠소깍은 제주특별자치도 올레 5코스의 끝이자 6코스의 시작이다. 바닷물과 민물이 만나는 계곡이다.,064-710-2114,제주특별자치도청,2022-12-01
520,쇠소깍해변,자연,관광지,,,33.2575864,126.6188654,,,,,,,쇠소깍해변은 효돈천과 검은모래 해변이 만나는 곳이다.,064-710-2114,제주특별자치도청,2022-12-01
521,쇠와꽃 승마장,자연,관광지,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 88-17,제주특별자치도 서귀포시 고성리 354-1,33.4493736,126.9207077,,,,,,,성산일출봉을 바라보며 승마를 즐길 수 있다.,064-710-2114,제주특별자치도청,2022-12-01
522,수목원테마파크&LED공원,기타,관광지,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시,33.4721583,126.4880259,,,,,,,수목원테마파크(야시장&LED공원)는 제주아이스뮤지엄· 5D 영상관이 있는 실내 관광지다.,064-710-2114,제주특별자치도청,2022-12-01
523,수목원테마파크(야시장&LED공원),문화,관광지,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동 1320,33.472158,126.488026,,,,,,,수목원테마파크(야시장&LED공원)는 제주아이스뮤지엄· 5D 영상관이 있는 실내 관광지다.,064-710-2114,제주특별자치도청,2022-12-01
524,수산저수지,자연,관광지,,제주특별자치도 제주시 애월읍 수산리 1,33.473469,126.386968,,,,,,,수산저수지는 제주시 애월읍에 있고· 수산봉 기슭에 자리 잡고 있는 제주에서 보기 드문 큰 면적의 인공 저수지이다.,064-710-2114,제주특별자치도청,2022-12-01
525,수악(물오름),오름,관광지,,제주특별자치도 서귀포시 남원읍 한남리 산2-3,33.33526,126.668112,,,,,,,물오름은 제주시 조천읍과 서귀포시 남원읍 경계에 있다. 한라산국립공원에 속하며· 서귀포 시내에서 북쪽의 한라산이 올려다 보이는 곳에 있다.,064-710-2114,제주특별자치도청,2022-12-01
526,수월봉,자연,관광지,,제주특별자치도 제주시 한경면 고산리 3760,33.294755,126.163448,,,,,,,수월봉은 천연기념물 제513호로· 올레12코스에 속한다.,064-710-2114,제주특별자치도청,2022-12-01
527,수월봉 지질트레일 A코스,트레일,관광지,제주특별자치도 제주시 한경면 노을해안로 101370,제주특별자치도 제주시 한경면 고산리 3762,33.293735,126.162815,13200,화장실+편의점,호텔+펜션+게스트하우스,,2870,,효심 가득한 오누이 이야기가 담겨있다. 수월봉 엉알길이라 부른다. (4.6km),064-772-3334,제주특별자치도청,2022-12-01
528,수월봉 지질트레일 B코스,트레일,관광지,제주특별자치도 제주시 한경면 노을해안로 101370,제주특별자치도 제주시 한경면 고산리 3762,33.293735,126.162815,16800,화장실+편의점,호텔+펜션+게스트하우스,,3652,,효심 가득한 오누이 이야기가 담겨있다. 당산봉 트레일이라 부른다. (3.2km),064-772-3334,제주특별자치도청,2022-12-01
529,수월봉 지질트레일 C코스(차귀도),트레일,관광지,제주특별자치도 제주시 한경면 노을해안로 101370,제주특별자치도 제주시 한경면 고산리 3762,33.293735,126.162815,6000,화장실+편의점,호텔+펜션+게스트하우스,,1304,,효심 가득한 오누이 이야기가 담겨있다. 차귀도를 지난다. (3.2km),064-772-3334,제주특별자치도청,2022-12-01
530,수월이못,자연,관광지,,제주특별자치도 서귀포시 대정읍 안성리 1747,33.258372,126.278558,,,,,,,힘없는 마을사람을 못살게 굴던 기생 '수월'의 집터를 깊게 파 빗물이 고여 이룬 못을 수월이못이라 부른다.,064-710-2114,제주특별자치도청,2022-12-01
531,순례자의교회,기타,관광지,제주특별자치도 제주시 한경면 일주서로 3960-24,,33.316518,126.185797,,,,,,,순례자의 교회는 한경면에 위치한 아주 작은 교회다.,064-710-2114,제주특별자치도청,2022-12-01
532,숨도,기타,관광지,제주특별자치도 서귀포시 일주동로 8941,제주특별자치도 서귀포시 호근동 569-2,33.250483,126.536701,,,,,,,숨도는 용암의 신비를 담은 예술 정원이다.,064-710-2114,제주특별자치도청,2022-12-01
533,숫모르편백나무숲길,자연,관광지,,제주특별자치도 제주시 용강동 산 14-1,33.430924,126.595761,,,,,,,숯모르 편백나무 숲길'은 울창한 편백 나무들이 가득하다. 숯모르란 '숯을 굽는 동산' 이란 뜻으로 한라생태숲 일대를 말하는 옛 지명이다.,064-710-2114,제주특별자치도청,2022-12-01
534,쉬리의언덕,자연,관광지,,제주특별자치도 서귀포시 색달동 3039-41,33.281411,126.411112,,,,,,,쉬리의언덕은 쉬리의 마지막 장면을 떠올리게 한다.,064-710-2114,제주특별자치도청,2022-12-01
535,스누피가든,기타,관광지,제주특별자치도 제주시 구좌읍 금백조로 930,,33.444752,126.777532,,,,,,,스누피가든은 야외정원으로· 할로윈 컨셉의 캐릭터를 볼 수 있는 특별전시가 열린다.,064-710-2114,제주특별자치도청,2022-12-01
536,스마트그리드홍보관,기타,관광지,제주특별자치도 제주시 구좌읍 해맞이해안로 712-3,,33.529167,126.853882,,,,,,,스마트그리드 홍보관은 신재생에너지에 대한 소개 및 발전을 보여주는 곳이다.,064-710-2114,제주특별자치도청,2022-12-01
537,시크릿가든촬영지,자연,관광지,제주특별자치도 서귀포시 중문관광로 198 (중문동),,33.242904,126.420435,,,,,,,시크릿가든 촬영지에는 드넓은 잔디밭과 아름다운 중문바다가 있다.,064-710-2114,제주특별자치도청,2022-12-01
538,신대산전망대,자연,관광지,,,33.953129,126.33361,,,,,,,신대산에 있는 전망대,064-710-2114,제주특별자치도청,2022-12-01
539,신대해안,자연,관광지,,,33.953129,126.33361,,,,,,,신대해안길은 추자 10경 중의 하나에 속한다.,064-710-2114,제주특별자치도청,2022-12-01
540,신도포구(돌고래소공원),자연,관광지,,,33.282487,126.188646,,,,,,,도구리를 품속에 둔 신도포구,064-710-2114,제주특별자치도청,2022-12-01
541,신비의도로,기타,관광지,,제주특별자치도 제주시 노형동 291-17,33.450004,126.487959,,,,,,,신비의 도로에서는 세워둔 차가 언덕 위로 올라간다. 제주특별자치도 도깨비도로라고도 불린다.,064-710-2114,제주특별자치도청,2022-12-01
542,신산공원,자연,관광지,,제주특별자치도 제주시 일도이동 830,33.507198,126.533181,,,,,,,신산공원 중심에 올림픽 성화의 도착 기념물이 세워져 있어 88 서울 올림픽을 상징한다. 또한· 1995년 10월에 광복 50주년을 기념해 제주특별자치도 문물을 담은 총 1·250점의 ‘95 제주특별자치도 타임캡슐’을 매설했다.,064-710-2114,제주특별자치도청,2022-12-01
543,신산환해장성,유적,관광지,,제주특별자치도 서귀포시 성산읍 신산리,33.387631,126.891347,1080,,관광호텔,,,,신산공원은 제주시민들이 애용하는 도심 속 공원 중 한 곳이다.신산공원 중심에 올림픽 성화의 도착 기념물이 세워져 있어 88 서울 올림픽을 상징한다. 또한· 1995년 10월에 광복 50주년을 기념해 제주특별자치도 문물을 담은 총 1·250점의 ‘95 제주특별자치도 타임캡슐’을 매설했다.,064-740-6000,제주특별자치도청,2022-12-01
544,신양섭지해수욕장,자연,관광지,제주특별자치도 서귀포시 성산읍 섭지코지로 88,제주특별자치도 서귀포시 성산읍 고성리 186-2,33.4305782,126.9277688,5720,공중화장실(1동)+샤워시설+탈의시설+급수대,호텔+리조트+펜션+게스트하우스,,28000,30,신양섭지해수욕장은 섭지코지 가는 길에 있으며 멋진 풍경을 자랑한다.,064-760-4990,제주관광공사,2022-12-01
545,신양포구,자연,관광지,,제주특별자치도 서귀포시 성산읍 고성리 599-4,33.4445754,126.9095025,724,,호텔+리조트+펜션+게스트하우스,,,,신양포구에서는 성산일출봉과 섭지코지가 한눈에 보인다.,064-712-6988,제주특별자치도청,2022-12-01
546,신양항(하추자항),자연,관광지,,제주특별자치도 제주시 추자면 신양리 434-5,33.9354341,126.3227638,4840,공식안내소+공중화장실(1동),펜션+민박,,,,신양항은 제주올레길 18-1코스의 시작이자 끝이다.,064-712-6988,제주특별자치도청,2022-12-01
547,신양해안도로,자연,관광지,,제주특별자치도 서귀포시 성산읍 고성리 612-1,33.4284772,126.9164426,16350,공용주차장+화장실+음료대+안내시설,호텔+리조트+펜션+게스트하우스+민박,,,,신양해안도로는 성산일출봉을 배경으로 그림처럼 아름다운 풍경이 펼쳐진다.,064-760-2772,제주특별자치도 서귀포시 연안관리팀,2022-12-01
548,신엄포구,기타,관광지,,제주특별자치도 제주시 애월읍 신엄리 2841-13,33.466336,126.368888,3182,공중화장실(1동)+응급함,호텔+리조트+펜션+게스트하우스+민박,,,,애월해안도로와 올레길 16코스 내에 위치한 포구이다.,064-712-6988,제주특별자치도청,2022-12-01
549,신재생에너지홍보관,기타,관광지,제주특별자치도 제주시 구좌읍 해맞이해안로 712-3,,33.529167,126.853882,,,,,,,제주특별자치도 신재생에너지 홍보관은 환경오염 없는 에너지에 대한 홍보와 연구를 위해 건립되었다. 홍보관 자체적으로 풍력과 태양력을 이용해 전기를 생산하고 있다.,064-710-2114,제주특별자치도청,2022-12-01
550,신창~차귀해안도로,자연,관광지,제주특별자치도 제주시 한경면 한경해안로 470,제주특별자치도 제주시 한경면 신창리 1353-1,33.341799,126.171322,,공중화장실+음료대+안내시설,펜션+게스트하우스+민박,,,,붉은 낙조에 물든 해안을 볼수 있는 제주특별자치도 일몰명소,064-712-6988,제주특별자치도청,2022-12-01
551,신창리포구,기타,관광지,,제주특별자치도 제주시 한경면 신창리 348-13,33.345325,126.185526,1710,,펜션+게스트하우스,,,,신창리 포구는 '용천수가 솟는 포구'라는 뜻이다. ‘왕깅이물’ 이라 불렸다. 서쪽에는 마리여등대가 있고· 동쪽에는 풍어와 안전을 기원하는 해신당이 있다. 이곳 근처에는 풍력발전단지가 위치해 꾸준히 돌아가는 풍력발전기를 볼 수 있는데· 포구와 어우러져 색다른 느낌을 연출한다.,064-712-6988,제주특별자치도청,2022-12-01
552,신창풍차해안도로,기타,관광지,,제주특별자치도 제주시 한경면 신창리 1481-23,33.34243,126.171898,,,펜션+게스트하우스,,,,제주도 서쪽 끝과 연결된 신창풍차해안도로는 해상풍력단지가 조성되어 해안도로를 따라 줄지어 서 있는 풍차를 만날 수 있다. 구불구불 해안선을 따라 보이는 하얀 풍차와 에메랄드빛 바다는 상쾌한 가을 풍경을 보여준다. 멀리 차귀도까지 보인다.,064-712-6989,제주특별자치도청,2022-12-01
553,신천리(용궁올레),자연,관광지,,제주특별자치도 서귀포시 성산읍 신천리,33.35161,126.83946,,,펜션+게스트하우스+민박,,,,서귀포시 동쪽에서 신산리쪽으로 조금 가면 '신천리'가 나온다. 12번 국도를 따라 달리면 오른편으로 잔디밭이 보이고 그 너머로 짙푸른 바다가 시야에 담긴다. 해변도로를 가다보면 신천리 목장이 한 눈에 들어오는데· 그 풍경은 관광객의 마음을 사로잡는다. 해변을 따라 걷다보면 바위들이 솟아 올라 있는데· '용머리 바위'와 전설이 담긴 '용궁올레 칼선도리 바위'를 볼 수 있다.,064-712-6990,제주특별자치도청,2022-12-01
554,신천리벽화마을,기타,관광지,,제주특별자치도 서귀포시 성산읍 신천리,33.350605,126.852414,,,,,,,몇 년 전· 한 영화의 촬영지로 선정되면서 마을이 변하기 시작했다. 촬영팀이 영화에 필요한 벽화를 그린 것을 시작으로· 젊은 예술가와 지역 화가들이 힘을 보태 작은 어촌마을에 그림을 채워놓았다. 해녀· 말· 동백꽃· 그리고 만화 캐릭터와 아이디어가 번뜩이는 그림이 가득해· 골목을 들어설 때마다 어떤 벽화가 있을지 궁금하게 만든다. 근처에 있는 마을 신당인 본향당과 천미연대도 함께 둘러보면 좋다.,064-710-2114,제주특별자치도청,2022-12-01
555,신촌4.3성터,문화유적,관광지,,,33.537717,126.613117,,,,,,,신촌리의 4.3 성터는 제주도 4.3 사건 당시에 사람들을 감시하기 위한 목적으로 돌을 직접 쌓아 만든 성터로· 우리 역사의 단면을 보여주는 곳이다. 닭머르해안 인근에 위치하고 있어· 관광객들이 해안길을 걷기 위해 자주 찾는 곳이다.,064-710-2114,제주특별자치도청,2022-12-01
556,신풍리 밭담길,자연,관광지,제주특별자치도 서귀포시 성산읍 신풍하동로 39,,33.36184,126.840596,,,,,,,제주도에서 가장 잘 운영되고 있는 농촌체험마을 중 한 곳인 신풍리는 마을로 향하는 길부터 아름답다. 초가집· 혼례장 등 체험시설도 잘 갖추어져 있고· 고망낚시체험· 돌담쌓기와 집줄놓기 등 전통적인 제주문화 체험이 가능하다. 마을 농산물을 이용한 손두부나 낭푼비빔밥도 맛볼 수 있다.,064-710-2114,제주특별자치도청,2022-12-01
557,신화워터파크,기타,관광지,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,제주특별자치도 서귀포시 서광리 산24,33.306693,126.338086,,,,,,,파도풀· 유수풀을 포함한 18개의 풀장과 슬라이드· 6개의 매장· 찜질방까지 갖춘 제주특별자치도 최대 실내외 워터파크다. 3·000명까지 수용할 수 있다. 수유실과 어린이 전용 풀장· 아시아 최초로 도입된 2개의 워터 슬라이드· 프라이빗한 휴식을 제공하는 카바나· 소금방·황토방·불가마를 갖춘 찜질방· 햄버거와 생맥주를 즐길 수 있는 매장까지· 온 가족이 원하는 모든 것이 있다.,064-710-2114,제주특별자치도청,2022-12-01
558,신화테마파크,기타,관광지,제주특별자치도 서귀포시 안덕면 신화역사로304번길 98,제주특별자치도 서귀포시 서광리 산35-16,33.306693,126.338086,,,,,,,한국 토종 애니메이션으로 세계적인 인기를 끈 '라바'의 세계관이 담긴 정통 테마파크다. 제주특별자치도 유일의 롤러코스터인 '댄싱오스카'를 포함한 짜릿한 놀이기구에 투바앤의 유머 넘치는 디자인이 그려져 있다. 모험의 시작점인 '로터리파크'를 지나· 신비한 정글 고대 도시 '오스카뉴월드'를 거쳐· 귀여운 캐릭터가 가득한 '라바어드벤처빌리지'에 도착할 수 있다. 15개의 최신 놀이기구와 VR체험과 게임· 퍼레이드와 쇼 등을 즐길 수 있다.,064-710-2114,제주특별자치도청,2022-12-01
559,신효베스트마을,기타,관광지,제주특별자치도 서귀포시 일주동로 8190,,33.260757,126.612511,,,,,,,신효베스트마을에는 '귤향과즐 체험'이 있어 귤향을 미각과 촉각으로 즐길 수 있다. ‘과즐’은 제주식 한과라 할 수 있는데 본래 과즐은 보릿가루 반죽을 기름에 튀겨· 달달한 조청을 발라 좁쌀튀밥 옷을 입혀 만들었다. 하지만 최근에는 튀김 반죽에 감귤과즙을 넣어 그 맛이 한층 깊어졌다. 달지 않아 질리지 않는 건강한 맛으로· 제2의 제주특산물로 부상 중이다. 이곳에서 귤향과즐을 제조· 판매할 뿐 아니라 만들기 체험도 진행하고 있다.,064-710-2114,제주특별자치도청,2022-12-01
560,신흥2리 동백마을,자연,관광지,제주특별자치도 서귀포시 남원읍 한신로531번길 22-1,제주특별자치도 서귀포시 남원읍 남원읍 신흥리 1759-2,33.320436,126.745174,5523,공용주차장+화장실,펜션+게스트하우스,,1201,10,서귀포시 신흥2리 제주동백마을에서는 제주특별자치도 토종 동백나무에서 얻어진 동백을 이용한 다양한 프로그램을 운영한다. 동백비누를 만들거나 주민들이 재래식으로 압착해 짜낸 동백기름을 넣은 동백비빔밥을 맛볼 수 있다.,064-712-6992,제주특별자치도청,2022-12-01
561,신흥리 동백&향나무길,자연,관광지,제주특별자치도 서귀포시 남원읍 한신로531번길 7,제주특별자치도 서귀포시 남원읍 신흥리 1598-1,33.329966,126.731853,549,공용주차장+화장실,펜션+게스트하우스,,119,10,네비게이션에 '덕덜생이'를 치면 향나무와 동백나무로 가득찬 길로 갈 수 있다. 밭으로 가는 길 좁아 운전할 때 주의가 필요하다. 이곳의 방풍림은 동백과 향나무로 이뤄졌다. 그래서 겨울에 더욱 아름다운 풍경을 볼 수 있다. 동백 철이 아닐 때도 사시사철 푸른 향나무의 멋진 기상 때문인지 늘 웨딩 스냅의 명소로 꼽힌다.,064-712-6993,제주특별자치도청,2022-12-01
562,심헌갤러리,예술,관광지,제주특별자치도 제주시 아란14길 3,,33.470795,126.544126,,,,,,,제주도 한라산 아래 아라동에 위치한 심헌갤러리는 벽돌로 차분하게 쌓아올린 문화공간이다. 심헌은 ‘마음이 가득한 집’이라는 뜻으로 이곳의 주인인 도예가 허민자 제주대학교 산업디자인학부 명예교수의 호를 딴 것이다. 원래 1988년부터 공방 심헌도예원이 자리하고 있던 곳에 동쪽으로 2층 건물을 증축하여 심헌갤러리를 개관하였다. 1층에는 ‘마음마루’ 갤러리 카페가 위치해 있으며· 2층에는 40여 평의 전시관이 자리 잡고 있다.,064-710-2114,제주특별자치도청,2022-12-01
563,싱게물공원,자연,관광지,,제주특별자치도 제주시 한경면 신창리 1322-1,33.343377,126.174,2560,공용주차장+음료대,펜션+게스트하우스,,557,40,싱게물(싱계물)공원은 한경면 용수 ~ 신창 해안도로에 있는 곳으로 제주의 드라이브 코스로 손에 꼽힌다. 제주시의 비경 중 하나로 선정됐다. 싱계물공원은 신창풍차해안이라는 이름으로 더 유명한데· 주변의 풍력발전기와 함께 이국적인 풍경을 보여주기 때문이다.,064-712-6994,제주특별자치도청,2022-12-01
564,싱계물해양공원,자연,관광지,,,33.343377,126.174,,,,,,,싱계물공원의 산책로 끝에는 바다로 이어지는 다리가 있는데· 이곳에서 자유롭게 낚시가 가능하다. 바다에 떠 있는 것 같아 보이는 사진이나 근방의 억새를 배경으로 촬영을 많이 하며 최근에는 셀프 웨딩의 명소로 각광받고 있다.,064-712-6995,제주특별자치도청,2022-12-01
565,쌍용굴(한림공원),자연,관광지,제주특별자치도 제주시 한림읍 한림로 300,제주특별자치도 제주시 한림읍 협재리 2487,33.389495,126.239683,2689,공용주차장+화장실+흡연구역+음료대+안내시설+피난시설,리조트+펜션+게스트하우스+민박,,585,300,쌍용굴(쌍룡굴)은 황금굴· 소천굴· 만장굴과 더불어 제주도의 대표적인 용암동굴이다. 동굴의 길이는 약 400m· 너비 6m· 높이는 3m 정도의 규모를 갖는다. 250만년 전 한라산 일대의 화산이 폭발하면서 협재굴과 함께 생성되었다. 용암동굴이자 석회동굴의 특징이 섞인 2차원적인 동굴이라는 점이 그 특징이다. 일대가 모래와 조개껍질이 섞여있는 패사층으로 되어 있다.,064-712-6996,제주특별자치도청,2022-12-01
566,썬플라워의원,의료,관광지,제주특별자치도 제주시 한림읍 금능남로 127,,33.376056,126.244127,,,,,,,국내외 고객 및 환자를 대상으로 최고의 안티에이징 의료서비스와 성형 및 메디컬스킨케어를 제공한다. 건강과 아름다운 외모로 고객의 삶의 질을 높이는 것을 목표로 한다. 천혜의 자연에서 누리는 힐링과 개인별 맞춤 의료프로그램으로 효과적인 관리와 결과를 약속한다.,064-710-2114,제주특별자치도청,2022-12-01
567,아끈다랑쉬,오름,관광지,,,33.475592,126.83015,,,,,,,다랑쉬오름 동남 쪽에 이웃해 있는 오름이다. 제주특별자치도 동쪽에서 오름의 여왕이라 불리는 다랑쉬 오름 바로 맞은편에 자리하고 있다. 다랑쉬 오름처럼 낮고 자그마한 원형 분화구를 갖고 있으며· 비슷한 모양을 띄고 있고 아끈다랑쉬라고 부른다. (아끈이란 버금가는 것· 둘째 것이라는 뜻의 제주특별자치도 방언이다.) 서사면으로 난 작은 길을 따라 10분 정도면 쉽게 오를 수 있으나· 억새의 물결이 장관을 이루는 가을이라면 풍경이 주는 아름다움에 빠져 한 두 시간이 훌쩍 지나가 버릴 수 있다.,064-710-2114,제주특별자치도청,2022-12-01
568,아라리오뮤지엄탑동시네마,기타,관광지,,,33.517422,126.523439,,,,,,,아라리오뮤지엄탑동시네맘은 국내 최고의 미술품 컬렉터로 꼽히는 김창일 회장이 제주특별자치도 탑동 인근 원도심에 버려진 옛 영화관 건물을 이용해 만든 현대미술관이다. 곳곳에 이전의 흔적을 남겨두어 현대 미술품 뿐만 아니라 원도심의 정취를 느낄 수 있다. 세계적으로 유명한 작가의 작품부터 국내 유명 작가의 작품까지 전시돼 있다. 제주에서 만날 수 있을 거라 기대하지 않았던 유명한 작품도 만날 수 있다.,064-710-2114,제주특별자치도청,2022-12-01
569,아르떼뮤지엄,기타,관광지,제주특별자치도 제주시 애월읍 어림비로 478,,33.397377,126.345722,,,,,,,아르떼뮤지엄은 몰입형 미디어아트를 체험할 수 있는 장소이다. 스피커 제조공장이었던 건물을 리모델링하여 면적 1·400평· 높이 10m의 벽을 스크린으로 만들었다. 최신기술을 활용한 미디어아트의 세계가 펼쳐진다.,064-710-2114,제주특별자치도청,2022-12-01
570,아름다운피부과,의료,관광지,제주특별자치도 제주시 도령로 5,,33.486768,126.47999,,,,,,,"""어떤 피부도 자신있는 피부전문병원· 아름다운피부과!"" 모든 의료진은 피부과전문의다. 모든 기기는 안전하게 정품을 사용한다. 또 모든 제품은 정직하게 정량을 준수한다. 지난 18년간 22만여명이 이 피부과를 방문했다. 각종 피부질환 치료 뿐 아니라· 한류피부미용의 선두로 저통증고효율 시술을 개발했다.",064-710-2114,제주특별자치도청,2022-12-01
571,아부오름,오름,관광지,,,33.44766,126.777265,,,,,,,일찍부터 '아보름'이라 불렸다. 혹은 송당마을과 당오름 남쪽에 있어서 '앞오름'이라 하여 이것을 한자로 빌어 표기한 것이 '전악(前岳)'이다. 또한 산 모양이 파여있어 마치 가장이 앉아있는 모습과 같다하여 '아부오름(亞父岳)'이라고도 한다. 오름 둘레까지 어렵지 않게 오를 수 있고· 제주오름의 모습을 가깝게 느낄 수 있어 최근 각광 받고 있다. 오름 정상에 함지박과 같은 굼부리가 파여있다. 특히 굼부리 안 원형 삼나무숲이 주목 받는다.,064-710-2114,제주특별자치도청,2022-12-01
572,아이리스촬영지(하얀등대),자연,관광지,,제주특별자치도 서귀포시 표선면 표선리 9-2,33.326494,126.831638,1041,,리조트+펜션+게스트하우스+민박+모텔,,226,5,드라마 아이리스 시즌1의 마지막 장면에서 이병헌(김현준 역)이 차에서 기다리던 하얀 등대다. 해비치 호텔 앞 올레4코스 시작 장소에 위치한다.,064-712-6997,제주특별자치도청,2022-12-01
